timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
0.0,3.39577,-2.055199,-10.770733,0.668355,-12.87334487606686
0.05,3.433613,-3.052895,-8.13401,0.619732,-13.356405839718594
0.1,3.522387,-5.008303,-2.511439,0.521707,-14.557113458584427
0.15,3.625584,-6.583207,2.918491,0.438023,-16.13969534135013
0.2,3.714065,-7.187922,5.902776,0.406452,-17.884388521982565
0.25,3.785223,-7.041766,6.182767,0.428811,-19.76513891164253
0.3,3.842069,-6.625982,3.688977,0.504791,-21.15780422799698
0.35,3.891805,-6.303389,-0.767341,0.618298,-21.34928249702324
0.4,3.94108,-5.863569,-6.069952,0.754359,-20.60596347612685
0.45,4.026067,-5.79501,-10.681506,0.875588,-18.306471090266225
0.5,4.222932,-7.01105,-12.237642,0.920847,-12.937898810932655
0.55,4.392172,-6.532013,-15.582802,1.036064,-10.471820857124678
0.6,4.598873,-6.463428,-17.374191,1.119132,-8.233861453021749
0.65,4.862961,-7.582092,-16.198789,1.127996,-5.705970850853034
0.7,5.108881,-9.455323,-13.62983,1.135571,-4.942741308319472
0.75,5.306834,-12.09547,-9.442558,1.121716,-5.2969558727128945
0.8,5.400077,-15.018703,-4.027141,1.058804,-6.33350315127387
0.85,5.42095,-17.91789,2.127042,0.956499,-7.843823455948517
0.9,5.432122,-20.503753,8.324645,0.852797,-9.751044863159999
0.95,5.321609,-22.110905,13.437036,0.921762,-11.862090613439495
1.0,5.172724,-20.492625,13.998982,0.80167,-15.488737501704248
1.05,4.935742,-16.497221,11.322371,0.644831,-19.53617859315209
1.1,4.606455,-12.614359,5.763242,0.673856,-21.227479582253974
1.15,4.30457,-9.272324,-2.633943,0.769335,-20.055731499468273
1.2,4.101545,-6.068535,-11.686611,0.920365,-17.661801595724373
1.25,4.119729,-4.566408,-17.356139,1.009304,-11.742309842481752
1.3,4.291284,-3.086827,-21.559144,1.085563,-6.486848265844989
1.35,4.546166,-2.164211,-24.321143,1.148885,-3.2855564802443213
1.4,4.832559,-2.678262,-24.680392,1.207038,-2.1444427686126937
1.45,5.109525,-4.992914,-22.137162,1.274475,-2.9828539724956595
1.5,5.377372,-9.052429,-16.315328,1.309112,-4.966958774757087
1.55,5.6076,-14.07434,-8.044117,1.281075,-7.6920368794480956
1.6,5.757009,-18.745191,0.980854,1.183662,-10.880097309737408
1.65,5.773117,-21.254292,8.091555,1.064219,-14.881500215053764
1.7,5.643514,-20.684688,11.352038,1.02324,-19.214436604586478
1.75,5.536921,-18.596872,10.462387,0.958993,-21.971210785046217
1.8,5.391588,-16.727108,5.68082,1.01981,-21.951752397676763
1.85,5.261095,-14.576505,-2.205651,1.159323,-19.675502403039474
1.9,5.221653,-12.196201,-10.286796,1.322052,-14.920300692789427
1.95,5.274055,-9.173558,-17.428694,1.470144,-10.120745125114752
2.0,5.322594,-5.746909,-24.284166,1.622708,-7.487766731200974
2.05,5.3965,-4.027283,-27.685818,1.703445,-6.189298427362546
2.1,5.505652,-4.899966,-26.212692,1.68746,-5.728756360992192
2.15,5.591528,-7.191397,-22.275608,1.648062,-6.4128742737163575
2.2,5.677367,-11.292861,-14.950898,1.552491,-8.545894224088565
2.25,5.760634,-15.686515,-6.442853,1.436837,-12.205796517328823
2.3,5.829187,-18.583451,1.161851,1.332772,-17.323145117843282
2.35,5.87119,-19.134963,7.051294,1.254145,-22.51921531808142
2.4,5.874667,-18.394289,9.31852,1.241749,-25.35469844008762
2.45,5.816327,-17.838207,8.412486,1.23851,-25.515072007562328
2.5,5.738766,-17.620262,4.565966,1.267042,-23.15278161335769
2.55,5.785909,-18.397022,0.988235,1.307617,-17.048876831819957
2.6,5.878415,-17.217734,-3.700102,1.407198,-11.820297663494486
2.65,6.039474,-14.96177,-9.078851,1.555684,-8.253746658304474
2.7,6.205387,-12.730084,-14.039969,1.733566,-6.575049258037248
2.75,6.434889,-11.887248,-16.304751,1.878233,-5.47177518937638
2.8,6.617702,-12.53477,-16.098722,2.019196,-6.023452967214753
2.85,6.766889,-14.878496,-12.889578,2.138723,-7.703165395068124
2.9,6.833097,-18.058235,-7.993251,2.219328,-11.302175131204608
2.95,6.883435,-21.000378,-2.260785,2.248234,-16.50836475299721
